Date,Open,Close,High,Low,Volume,ABER_ATR_5_10,ABER_ATR_5_11,ABER_ATR_5_12,ABER_ATR_5_13,ABER_ATR_5_14,ABER_ATR_5_15,ABER_ATR_5_16,ABER_ATR_5_17,ABER_ATR_5_18,ABER_ATR_5_19,ABER_ATR_8_13,ABER_ATR_8_14,ABER_ATR_8_15,ABER_ATR_8_16,ABER_ATR_8_17,ABER_ATR_8_18,ABER_ATR_8_19,ABER_ATR_8_20,ABER_ATR_8_21,ABER_ATR_8_22,ABER_ATR_11_16,ABER_ATR_11_17,ABER_ATR_11_18,ABER_ATR_11_19,ABER_ATR_11_20,ABER_ATR_11_21,ABER_ATR_11_22,ABER_ATR_11_23,ABER_ATR_11_24,ABER_ATR_11_25,ABER_ATR_14_19,ABER_ATR_14_20,ABER_ATR_14_21,ABER_ATR_14_22,ABER_ATR_14_23,ABER_ATR_14_24,ABER_ATR_14_25,ABER_ATR_14_26,ABER_ATR_14_27,ABER_ATR_14_28,ABER_ATR_17_22,ABER_ATR_17_23,ABER_ATR_17_24,ABER_ATR_17_25,ABER_ATR_17_26,ABER_ATR_17_27,ABER_ATR_17_28,ABER_ATR_17_29,ABER_ATR_17_30,ABER_ATR_17_31,High_Open_ration,Close_Open_Ratio
2021/1/4,375.309998,368.790009,375.450012,364.820007,110210800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0373062,-1.737227634
2021/1/5,368.100006,371.329987,372.5,368.049988,66426200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1953257,0.87747377
2021/1/6,369.709991,373.549988,376.980011,369.119995,107997700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9664116,1.03865113
2021/1/7,376.100006,379.100006,379.899994,375.910004,68766800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0103664,0.797660184
2021/1/8,380.589996,381.26001,381.48999,377.100006,71677200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2364734,0.176046141
2021/1/11,377.850006,378.690002,380.579987,377.720001,51034700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7225039,0.222309378
2021/1/12,378.890015,378.769989,379.859985,376.359985,52547700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2560031,-0.031678322
2021/1/13,378.690002,379.790009,380.859985,377.850006,45303600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5730236,0.290476906
2021/1/14,380.589996,378.459991,381.130005,378.100006,49989100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1418873,-0.559658694
2021/1/15,376.720001,375.700012,377.579987,373.700012,107160000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2282825,-0.270755202
2021/1/19,378.339996,378.649994,379.230011,376.75,51233300,4.195616456255825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2352421,0.081936354
2021/1/20,381.109985,383.890015,384.790009,380.690002,61836100,4.478978241305949,4.486058436631202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9656068,0.729456091
2021/1/21,384.48999,384.23999,384.950012,383.25,47840100,4.091703906228423,4.114340790209988,4.133459488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1196447,-0.065021199
2021/1/22,382.25,382.880005,384.130005,381.839996,52860500,3.8648764092581716,3.894937871709101,3.9201898977915994,3.941686429,,,,,,,3.941686429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.491826,0.164814912
2021/1/25,383.670013,384.390015,384.769989,378.459991,70402000,4.181917371190922,4.192969954700362,4.202983638,4.212013918899227,4.220151513643049,,,,,,4.212013918899227,4.220151513643049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2866985,0.187661786
2021/1/26,385.410004,383.790009,385.850006,383.540009,42665300,3.946191459184859,3.967913985490153,3.9865553621877443,4.0027016572104595,4.016806024889051,4.029222184575849,,,,,4.0027016572104595,4.016806024889051,4.029222184575849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1141647,-0.420330293
2021/1/27,380.220001,374.410004,380.320007,372.01001,123351100,4.907751168722312,4.875654264764062,4.850802393542369,4.831132686855164,4.815269377037021,4.802266846083509,4.791457816871903,,,,4.831132686855164,4.815269377037021,4.802266846083509,4.791457816871903,,,,,,,4.791457816871903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0263021,-1.528061908
2021/1/28,376.359985,377.630005,381.929993,375.890015,94198100,5.2212592670516305,5.175339447320935,5.138860375760938,5.109314270810754,5.084981010754901,5.064648958143794,5.047444292390135,5.032723486087845,,,5.109314270810754,5.084981010754901,5.064648958143794,5.047444292390135,5.032723486087845,,,,,,5.047444292390135,5.032723486087845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4799682,0.337448201
2021/1/29,375.630005,370.070007,376.670013,368.269989,126765100,5.708226040628196,5.639192667317682,5.583474998845538,5.537712844141656,5.499554336229107,5.467313683632448,5.439756349425465,5.415960685227343,5.395226623,,5.537712844141656,5.499554336229107,5.467313683632448,5.439756349425465,5.415960685227343,5.395226623,,,,,5.439756349425465,5.415960685227343,5.395226623,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2768703,-1.480179412
2021/2/1,373.720001,376.230011,377.339996,370.380005,75817600,5.888794451342462,5.816425934863804,5.757292226893215,5.708228381447229,5.666966142,5.631848454,5.601642706633714,5.575416545673057,5.552453812509261,5.532196625968239,5.708228381447229,5.666966142,5.631848454,5.601642706633714,5.575416545673057,5.552453812509261,5.532196625968239,,,,5.601642706633714,5.575416545673057,5.552453812509261,5.532196625968239,,,,,,,5.532196625968239,,,,,,,,,,,,,,,,,,,,0.9686383,0.67162849
2021/2/2,379.649994,381.549988,383.220001,376.320007,64450700,6.014154911582088,5.941740839170572,5.881879711300397,5.8317408821333325,5.7892425140078645,5.752832573,5.721337524123852,5.693857640986056,5.669693952342603,5.648296681172847,5.8317408821333325,5.7892425140078645,5.752832573,5.721337524123852,5.693857640986056,5.669693952342603,5.648296681172847,5.629228385428638,,,5.721337524123852,5.693857640986056,5.669693952342603,5.648296681172847,5.629228385428638,,,,,,5.648296681172847,5.629228385428638,,,,,,,,,,,,,,,,,,,0.9403416,0.500459378
2021/2/3,382.440002,381.850006,383.700012,380.480011,52427100,5.700409853,5.655650377242219,5.617534717589665,5.584868467379303,5.556670797589371,5.532152628076265,5.510683016,5.491757067260823,5.474969040291776,5.4599909172829655,5.584868467379303,5.556670797589371,5.532152628076265,5.510683016,5.491757067260823,5.474969040291776,5.4599909172829655,5.446555714,5.434444582731423,,5.510683016,5.491757067260823,5.474969040291776,5.4599909172829655,5.446555714,5.434444582731423,,,,,5.4599909172829655,5.446555714,5.434444582731423,,,,,,,,,,,,,,,,,,0.3294661,-0.154271519
2021/2/4,382.959991,386.190002,386.23999,381.970001,47142600,5.555052942336683,5.524475490867848,5.4975462435332965,5.473876636297174,5.4530391405229794,5.434633382969061,5.418307452539792,5.403760789838162,5.390740036213485,5.379032720308442,5.473876636297174,5.4530391405229794,5.434633382969061,5.418307452539792,5.403760789838162,5.390740036213485,5.379032720308442,5.368460806,5.358874866886464,5.350149106737412,5.418307452539792,5.403760789838162,5.390740036213485,5.379032720308442,5.368460806,5.358874866886464,5.350149106737412,,,,5.379032720308442,5.368460806,5.358874866886464,5.350149106737412,,,,,,,5.350149106737412,,,,,,,,,,0.8564861,0.843433015
