Date,Open,Close,High,Low,Volume
2021/1/4,375.309998,368.790009,375.450012,364.820007,110210800
2021/1/5,368.100006,371.329987,372.5,368.049988,66426200
2021/1/6,369.709991,373.549988,376.980011,369.119995,107997700
2021/1/7,376.100006,379.100006,379.899994,375.910004,68766800
2021/1/8,380.589996,381.26001,381.48999,377.100006,71677200
2021/1/11,377.850006,378.690002,380.579987,377.720001,51034700
2021/1/12,378.890015,378.769989,379.859985,376.359985,52547700
2021/1/13,378.690002,379.790009,380.859985,377.850006,45303600
2021/1/14,380.589996,378.459991,381.130005,378.100006,49989100
2021/1/15,376.720001,375.700012,377.579987,373.700012,107160000
2021/1/19,378.339996,378.649994,379.230011,376.75,51233300
2021/1/20,381.109985,383.890015,384.790009,380.690002,61836100
2021/1/21,384.48999,384.23999,384.950012,383.25,47840100
2021/1/22,382.25,382.880005,384.130005,381.839996,52860500
2021/1/25,383.670013,384.390015,384.769989,378.459991,70402000
2021/1/26,385.410004,383.790009,385.850006,383.540009,42665300
2021/1/27,380.220001,374.410004,380.320007,372.01001,123351100
2021/1/28,376.359985,377.630005,381.929993,375.890015,94198100
2021/1/29,375.630005,370.070007,376.670013,368.269989,126765100
2021/2/1,373.720001,376.230011,377.339996,370.380005,75817600
2021/2/2,379.649994,381.549988,383.220001,376.320007,64450700
2021/2/3,382.440002,381.850006,383.700012,380.480011,52427100
2021/2/4,382.959991,386.190002,386.23999,381.970001,47142600
2021/2/5,388.200012,387.709991,388.470001,386.140015,48669800
2021/2/8,389.269989,390.51001,390.559998,388.350006,38365200
2021/2/9,389.609985,390.25,390.890015,389.170013,35551100
2021/2/10,392.119995,390.079987,392.279999,387.5,59154400
2021/2/11,391.23999,390.709991,391.690002,388.100006,42913300
2021/2/12,389.850006,392.640015,392.899994,389.769989,50593300
2021/2/16,393.959991,392.299988,394.170013,391.529999,50972400
2021/2/17,390.420013,392.390015,392.660004,389.329987,52290600
2021/2/18,389.589996,390.720001,391.519989,387.73999,59712800
2021/2/19,392.070007,390.029999,392.380005,389.549988,83241000
2021/2/22,387.059998,387.029999,389.619995,386.73999,67414200
2021/2/23,384.660004,387.5,388.950012,380.200012,107284100
2021/2/24,386.329987,391.769989,392.230011,385.269989,72433900
2021/2/25,390.410004,382.329987,391.880005,380.779999,146670500
2021/2/26,384.350006,380.359985,385.579987,378.230011,152701600
2021/3/1,385.589996,389.579987,390.920013,380.570007,105348800
2021/3/2,389.820007,386.540009,390.070007,386,79595300
2021/3/3,385.790009,381.420013,386.829987,381.309998,119940200
2021/3/4,381.220001,376.700012,384,371.880005,183433000
2021/3/5,380.459991,383.630005,384.76001,372.640015,152039600
2021/3/8,384.660004,381.720001,387.679993,381.420013,123149200
2021/3/9,385.850006,387.170013,389.910004,385.309998,113633600
2021/3/10,389.690002,389.579987,391.399994,388.170013,109899400
2021/3/11,392.230011,393.529999,395.649994,391.73999,86245000
2021/3/12,392.070007,394.059998,394.209991,391.200012,64653600
2021/3/15,394.329987,396.410004,396.690002,392.029999,73427200
2021/3/16,397.070007,395.910004,397.829987,395.079987,73722500
2021/3/17,394.529999,397.26001,398.119995,393.299988,97959300
2021/3/18,394.480011,391.480011,396.720001,390.75,115349100
2021/3/19,389.880005,389.480011,391.570007,387.149994,113624500
2021/3/22,390.029999,392.589996,394.070007,389.970001,73778600
2021/3/23,391.910004,389.5,393.459991,388.660004,90686600
2021/3/24,391,387.519989,392.75,387.470001,97588600
2021/3/25,385.980011,389.700012,390.549988,383.899994,116128600
2021/3/26,390.929993,395.980011,396.410004,390.290009,114409100
2021/3/29,394.399994,395.779999,396.75,392.809998,108107600
2021/3/30,394.420013,394.730011,395.450012,393.019989,76262200
2021/3/31,395.339996,396.329987,398,395.309998,112734200
2021/4/1,398.399994,400.609985,400.670013,398.179993,99682900
2021/4/5,403.459991,406.359985,406.940002,403.380005,91684800
2021/4/6,405.76001,406.119995,407.23999,405.399994,62021000
2021/4/7,405.940002,406.589996,406.959991,405.450012,55836300
2021/4/8,407.929993,408.519989,408.579987,406.929993,57863100
2021/4/9,408.390015,411.48999,411.670013,408.26001,61104600
2021/4/12,410.850006,411.640015,411.929993,410.200012,56704900
2021/4/13,411.529999,412.859985,413.529999,411.119995,56551000
2021/4/14,412.829987,411.450012,413.959991,410.869995,61659900
2021/4/15,413.73999,415.869995,416.160004,413.690002,60229800
2021/4/16,417.25,417.26001,417.910004,415.730011,82037300
2021/4/19,416.26001,415.209991,416.73999,413.790009,78498500
2021/4/20,413.910004,412.170013,415.089996,410.589996,81851800
2021/4/21,411.51001,416.070007,416.290009,411.359985,66793000
2021/4/22,415.890015,412.269989,416.779999,411.130005,97582800
2021/4/23,412.869995,416.73999,418.25,412.790009,73209200
2021/4/26,417.440002,417.609985,418.220001,416.809998,52182400
2021/4/27,417.929993,417.519989,418.140015,416.299988,51303100
2021/4/28,417.809998,417.399994,419.01001,416.899994,51238900
2021/4/29,420.320007,420.059998,420.720001,416.440002,78544300
2021/4/30,417.630005,417.299988,418.540009,416.339996,85527000
2021/5/3,419.429993,418.200012,419.839996,417.670013,68128300
2021/5/4,416.070007,415.619995,416.600006,411.670013,101591200
2021/5/5,417.380005,415.75,417.630005,415.149994,60162200
2021/5/6,415.829987,419.070007,419.209991,413.679993,74321400
2021/5/7,419.890015,422.119995,422.820007,419.160004,67733800
2021/5/10,422.5,417.940002,422.73999,417.809998,81852400
2021/5/11,413.100006,414.209991,415.269989,410.059998,116888000
2021/5/12,411.230011,405.410004,412.589996,404,134811000
2021/5/13,407.070007,410.279999,412.350006,407.019989,106394000
2021/5/14,413.209991,416.579987,417.48999,413.179993,82201600
2021/5/17,415.390015,415.519989,416.390015,413.359985,65129200
2021/5/18,415.799988,411.940002,416.059998,411.769989,59810200
2021/5/19,406.920013,410.859985,411.049988,405.329987,106467100
2021/5/20,411.799988,415.279999,416.630005,411.670013,78022200
2021/5/21,416.869995,414.940002,418.200012,414.450012,76578700
2021/5/24,417.339996,419.170013,420.320007,417.079987,51376700
2021/5/25,420.329987,418.23999,420.709991,417.619995,57451400
2021/5/26,418.869995,419.070007,419.609985,417.76001,43088600
2021/5/27,420.170013,419.290009,420.720001,418.98999,56707700
2021/5/28,420.970001,420.040009,421.25,419.790009,58520200
2021/6/1,422.570007,419.670013,422.720001,419.200012,54216600
2021/6/2,420.369995,420.329987,421.230011,419.290009,49097100
2021/6/3,417.850006,418.769989,419.98999,416.279999,58138800
2021/6/4,420.75,422.600006,422.920013,418.839996,55938800
2021/6/7,422.589996,422.190002,422.779999,421.190002,51555000
2021/6/8,423.109985,422.279999,423.209991,420.320007,47134300
2021/6/9,423.179993,421.649994,423.26001,421.410004,48436300
2021/6/10,422.959991,423.609985,424.630005,421.549988,51020100
2021/6/11,424.200012,424.309998,424.429993,422.820007,45570800
2021/6/14,424.429993,425.26001,425.369995,423.100006,42358500
2021/6/15,425.420013,424.480011,425.459991,423.540009,51508500
2021/6/16,424.630005,422.109985,424.869995,419.920013,80386100
2021/6/17,421.670013,421.970001,423.019989,419.320007,90949700
2021/6/18,417.089996,414.920013,417.829987,414.700012,118676300
2021/6/21,416.799988,420.859985,421.059998,415.929993,72822000
2021/6/22,420.850006,423.109985,424,420.079987,57700300
2021/6/23,423.190002,422.600006,424.049988,422.51001,49445400
2021/6/24,424.890015,425.100006,425.549988,424.619995,45110300
2021/6/25,425.899994,426.609985,427.089996,425.549988,58129500
2021/6/28,427.170013,427.470001,427.649994,425.890015,53159600
2021/6/29,427.880005,427.700012,428.559998,427.130005,35970500
2021/6/30,427.209991,428.059998,428.779999,427.179993,64827900
2021/7/1,428.869995,430.429993,430.600006,428.799988,53441000
2021/7/2,431.670013,433.720001,434.100006,430.519989,57697700
2021/7/6,433.779999,432.929993,434.01001,430.01001,68710400
2021/7/7,433.660004,434.459991,434.76001,431.51001,63549500
2021/7/8,428.779999,430.920013,431.730011,427.519989,97595200
2021/7/9,432.529999,435.519989,435.839996,430.709991,76238600
2021/7/12,435.429993,437.079987,437.350006,434.970001,52889600
2021/7/13,436.23999,435.589996,437.839996,435.309998,52911300
2021/7/14,437.399994,436.23999,437.920013,434.910004,64130400
2021/7/15,434.809998,434.75,435.529999,432.720001,55126400
2021/7/16,436.01001,431.339996,436.059998,430.920013,75874700
2021/7/19,426.190002,424.970001,431.410004,421.970001,147987000
2021/7/20,425.679993,431.059998,432.420013,424.829987,99608200
2021/7/21,432.339996,434.549988,434.700012,431.01001,64724400
2021/7/22,434.73999,435.459991,435.720001,433.690002,47878500
2021/7/23,437.519989,439.940002,440.299988,436.790009,63766600
2021/7/26,439.309998,441.019989,441.029999,439.26001,43719200
2021/7/27,439.910004,439.01001,439.940002,435.98999,67397100
2021/7/28,439.679993,438.829987,440.299988,437.309998,52472400
2021/7/29,439.820007,440.649994,441.799988,439.809998,47435300
2021/7/30,437.910004,438.51001,440.059998,437.769989,68951200
2021/8/2,440.339996,437.589996,440.929993,437.209991,58783300
2021/8/3,438.440002,441.149994,441.279999,436.100006,58053900
2021/8/4,439.779999,438.980011,441.119995,438.730011,46732200
2021/8/5,440.220001,441.76001,441.850006,439.880005,38969700
2021/8/6,442.100006,442.48999,442.940002,441.799988,46930000
2021/8/9,442.459991,442.130005,442.799988,441.309998,41222600
2021/8/10,442.609985,442.679993,443.440002,441.880005,43339300
