Date,Open,Close,High,Low,Volume,High_Open,ABER_ATR_5_15,DMN_14,AO_5_34,APO_12_26,ATRr_14,BIAS_SMA_26,CMO_14,COPC_11_14_10,DPO_20,NATR_14,QQE_14_5_4.236_RSIMA,RSI_14,RVI_14,THERMOma_20_2_0.5,ZS_30,TRIX_30_9
2021/1/4,375.309998,368.790009,375.450012,364.820007,110210800,0.1400140000000078,,,,,,,,,,,,,,,,
2021/1/5,368.100006,371.329987,372.5,368.049988,66426200,4.399993999999992,,,,,,,,,,,,,,,,
2021/1/6,369.709991,373.549988,376.980011,369.119995,107997700,7.270019999999988,,,,,,,,,,,,,,,,
2021/1/7,376.100006,379.100006,379.899994,375.910004,68766800,3.799987999999985,,,,,,,,,,,,,,,,
2021/1/8,380.589996,381.26001,381.48999,377.100006,71677200,0.8999939999999924,,,,,,,,,,,,,,,,
2021/1/11,377.850006,378.690002,380.579987,377.720001,51034700,2.7299810000000093,,,,,,,,,,,,,,,,
2021/1/12,378.890015,378.769989,379.859985,376.359985,52547700,0.9699699999999892,,,,,,,,,,,,,,,,
2021/1/13,378.690002,379.790009,380.859985,377.850006,45303600,2.169983000000002,,,,,,,,,,,,,,,,
2021/1/14,380.589996,378.459991,381.130005,378.100006,49989100,0.5400089999999977,,,,,,,,,0.3789880999999582,,,,,,,
2021/1/15,376.720001,375.700012,377.579987,373.700012,107160000,0.8599859999999921,,,,,,,,,-3.01898985,,,,,,,
2021/1/19,378.339996,378.649994,379.230011,376.75,51233300,0.8900150000000053,,,,,,,,,-0.5950088,,,,,,,
2021/1/20,381.109985,383.890015,384.790009,380.690002,61836100,3.680024000000003,,,,,,,,,4.013011500000005,,,,,,,
2021/1/21,384.48999,384.23999,384.950012,383.25,47840100,0.4600220000000377,,,,,,,,,3.932487249999952,,,,,,,
2021/1/22,382.25,382.880005,384.130005,381.839996,52860500,1.8800049999999828,,,,,,,,,2.1100022499999795,1.0981549408169498,,,0,,,
2021/1/25,383.670013,384.390015,384.769989,378.459991,70402000,1.0999760000000265,,0.9379723869012796,,,4.220151513643049,,45.39663116815437,,3.042012349999993,1.1668704072173488,72.69831558407718,72.69831558407718,11.723238614575394,,,
2021/1/26,385.410004,383.790009,385.850006,383.540009,42665300,0.4400019999999927,4.029222184575849,0.8381205413621295,,,4.016806024889051,,40.746836676043976,,1.876506450000022,1.0931208188092478,71.92334983539212,70.37341833802198,10.514114712053004,,,
2021/1/27,380.220001,374.410004,380.320007,372.01001,123351100,0.1000059999999507,4.802266846083509,1.937806346186614,,,4.815269377037021,,-8.511377541,,-8.04949765,1.3906100713333764,63.197003633499165,45.74431122971325,9.434201384253427,,,
2021/1/28,376.359985,377.630005,381.929993,375.890015,94198100,5.570008,5.064648958143794,1.7445704517812963,,,5.084981010754901,,3.919781492958207,,-5.53849785,1.460434090032087,59.451299337825816,51.95989074647911,19.204616889735693,,,
